##Data:X Data:Y Source:X Source:Y
586 28.11721 302.7063 308.5
587 27.49376 303.2094 303.5
588 27.49376 303.7125 303.5
589 27.36908 304.2156 302.5
590 27.36908 304.7188 302.5
591 27.24439 305.2219 301.5
592 27.24439 305.725 301.5
593 26.87033 306.2281 298.5
594 26.87033 306.7313 298.5
595 26.68329 307.2344 297
596 26.68329 307.7375 297
597 26.37157 308.2406 294.5
598 26.37157 308.7437 294.5
599 25.99751 309.2469 291.5
600 25.99751 309.75 291.5
601 26.12219 310.2531 292.5
602 26.12219 310.7563 292.5
603 25.74813 311.2594 289.5
604 25.74813 311.7625 289.5
605 25.49875 312.2656 287.5
606 25.49875 312.7688 287.5
607 25.37407 313.2719 286.5
608 25.37407 313.775 286.5
609 25 314.2781 283.5
610 25 314.7813 283.5
611 24.75062 315.2844 281.5
612 24.75062 315.7875 281.5
613 24.50125 316.2906 279.5
614 24.50125 316.7938 279.5
615 24.62593 317.2969 280.5
616 24.62593 317.8 280.5
617 24.00249 318.3031 275.5
618 24.00249 318.8062 275.5
619 23.94015 319.3094 275
620 23.94015 319.8125 275
621 23.87781 320.3156 274.5
622 23.87781 320.8188 274.5
623 23.25436 321.3219 269.5
624 23.25436 321.825 269.5
625 23.12967 322.3281 268.5
626 23.12967 322.8313 268.5
627 22.63092 323.3344 264.5
628 22.63092 323.8375 264.5
629 22.50624 324.3406 263.5
630 22.50624 324.8438 263.5
631 22.25686 325.3469 261.5
632 22.25686 325.85 261.5
633 21.88279 326.3531 258.5
634 21.88279 326.8563 258.5
635 21.50873 327.3594 255.5
636 21.50873 327.8625 255.5
637 21.13466 328.3656 252.5
638 21.13466 328.8687 252.5
639 20.88529 329.3719 250.5
640 20.88529 329.875 250.5
641 20.7606 330.3781 249.5
642 20.7606 330.8813 249.5
643 20.51122 331.3844 247.5
644 20.51122 331.8875 247.5
645 20.38653 332.3906 246.5
646 20.38653 332.8938 246.5
647 19.76309 333.3969 241.5
648 19.76309 333.9 241.5
649 19.76309 334.4031 241.5
650 19.76309 334.9063 241.5
651 19.76309 335.4094 241.5
652 19.76309 335.9125 241.5
653 19.13965 336.4156 236.5
654 19.13965 336.9188 236.5
655 19.26434 337.4219 237.5
656 19.26434 337.925 237.5
657 18.89027 338.4281 234.5
658 18.89027 338.9312 234.5
659 18.6409 339.4344 232.5
660 18.6409 339.9375 232.5
661 18.76559 340.4406 233.5
662 18.76559 340.9438 233.5
663 18.26683 341.4469 229.5
664 18.26683 341.95 229.5
665 18.39152 342.4531 230.5
666 18.39152 342.9563 230.5
667 18.01746 343.4594 227.5
668 18.01746 343.9625 227.5
669 17.89277 344.4656 226.5
670 17.89277 344.9688 226.5
671 17.64339 345.4719 224.5
672 17.64339 345.975 224.5
673 17.5187 346.4781 223.5
674 17.5187 346.9813 223.5
675 17.26933 347.4844 221.5
676 17.26933 347.9875 221.5
677 17.14464 348.4906 220.5
678 17.14464 348.9937 220.5
679 16.89526 349.4969 218.5
680 16.77057 350 217.5
681 16.77057 350.5031 217.5
682 16.5212 351.0063 215.5
683 16.5212 351.5094 215.5
684 16.39651 352.0125 214.5
685 16.39651 352.5156 214.5
686 15.89776 353.0188 210.5
687 15.89776 353.5219 210.5
688 16.02244 354.025 211.5
689 16.02244 354.5281 211.5
690 15.89776 355.0313 210.5
691 15.89776 355.5344 210.5
692 15.27431 356.0375 205.5
693 15.27431 356.5406 205.5
694 15.399 357.0438 206.5
695 15.399 357.5469 206.5
696 15.399 358.05 206.5
697 15.399 358.5531 206.5
698 15.21197 359.0562 205
699 15.21197 359.5594 205
700 15.02494 360.0625 203.5
701 15.02494 360.5656 203.5
702 14.77556 361.0688 201.5
703 14.77556 361.5719 201.5
704 14.65087 362.075 200.5
705 14.65087 362.5781 200.5
706 14.52618 363.0813 199.5
707 14.52618 363.5844 199.5
708 14.4015 364.0875 198.5
709 14.4015 364.5906 198.5
710 14.15212 365.0938 196.5
711 14.15212 365.5969 196.5
712 14.02743 366.1 195.5
713 14.02743 366.6031 195.5
714 13.90274 367.1063 194.5
715 13.90274 367.6094 194.5
716 13.77806 368.1125 193.5
717 13.77806 368.6156 193.5
718 13.52868 369.1187 191.5
719 13.52868 369.6219 191.5
720 13.40399 370.125 190.5
721 13.40399 370.6281 190.5
722 13.2793 371.1313 189.5
723 13.2793 371.6344 189.5
724 13.15461 372.1375 188.5
725 13.15461 372.6406 188.5
726 12.78055 373.1438 185.5
727 12.78055 373.6469 185.5
728 12.78055 374.15 185.5
729 12.78055 374.6531 185.5
730 12.2818 375.1563 181.5
731 12.2818 375.6594 181.5
732 12.2818 376.1625 181.5
733 12.2818 376.6656 181.5
734 12.2818 377.1688 181.5
735 12.2818 377.6719 181.5
736 12.15711 378.175 180.5
737 12.15711 378.6781 180.5
738 11.65835 379.1812 176.5
739 11.65835 379.6844 176.5
740 11.7207 380.1875 177
741 11.7207 380.6906 177
